Exchange;Time;Side;Price;Size;Instrument
Deribit;1596788298;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788298;Buy;Market;-2850;BTC-PERPETUAL
Deribit;1596788299;Sell;Market;-2850;BTC-PERPETUAL
Deribit;1596788299;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788299;Buy;Market;-2850;BTC-PERPETUAL
Deribit;1596788300;Sell;Market;-2850;BTC-PERPETUAL
Deribit;1596788300;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788300;Buy;Market;-2850;BTC-PERPETUAL
Deribit;1596788302;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788302;Buy;Market;-2250;BTC-PERPETUAL
Deribit;1596788305;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788305;Buy;Market;-2100;BTC-PERPETUAL
Deribit;1596788309;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788309;Buy;Market;-2100;BTC-PERPETUAL
Deribit;1596788310;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788310;Buy;Market;-2100;BTC-PERPETUAL
Deribit;1596788311;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788311;Buy;Market;-2100;BTC-PERPETUAL
Deribit;1596788312;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788312;Buy;Market;-2100;BTC-PERPETUAL
Deribit;1596788316;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788316;Buy;Market;-1350;BTC-PERPETUAL
Deribit;1596788319;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788319;Buy;Market;-1200;BTC-PERPETUAL
Deribit;1596788320;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788320;Buy;Market;-1200;BTC-PERPETUAL
Deribit;1596788321;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788321;Buy;Market;-1200;BTC-PERPETUAL
Deribit;1596788324;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788324;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788325;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788325;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788327;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788327;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788328;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788328;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788329;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788329;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788333;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788333;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788334;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788334;Buy;Market;-750;BTC-PERPETUAL
Deribit;1596788366;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788366;Sell;Market;300;BTC-PERPETUAL
Deribit;1596788386;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788386;Buy;Market;-150;BTC-PERPETUAL
Deribit;1596788387;Sell;Market;150;BTC-PERPETUAL
Deribit;1596788388;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788389;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788390;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788391;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788392;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788393;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788395;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788395;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788398;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788399;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788399;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788401;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788401;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788403;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788404;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788405;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788407;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788408;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788410;Sell;Market;2550;BTC-PERPETUAL
Deribit;1596788411;Sell;Market;2550;BTC-PERPETUAL
Deribit;1596788413;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788413;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788414;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788414;Buy;Market;-2550;BTC-PERPETUAL
Deribit;1596788415;Buy;Market;150;BTC-PERPETUAL
Deribit;1596788415;Buy;Market;-2550;BTC-PERPETUAL
